name,short_name,directions
Бизнес аналитик,BA,Аналитика
Системный аналитик,SA,Аналитика
Аналитик данных,DA,Аналитика
Data Scientist,DS,Аналитика
Аналитик 1С,1C,Аналитика
Менеджер проектов,PM,Менеджмент
Менеджер продукта,PdM,Менеджмент
HR-менеджер,HRM,Менеджмент
Дизайнер интерфейсов,DisI,Дизайн
Графический дизайнер,DisG,Дизайн
Веб-дизайнер,DisW,Дизайн
Продуктовый дизайнер,DisP,Дизайн
Коммерческий иллюстратор,DisK,Дизайн
Моушн-дизайнер,DisM,Дизайн
